asin,profile
B0001HYKBW,"Pretty good but too noisy I think it's a good product but they should improve the noise it makes. I have to use it every day morning and  I wake up the whole entire neighborhood. Good little trimmer with a couple drawbacks First of all, to get the vac to work correctly you have to trim very slowly. The vac is powerful, but it's not THAT powerful. If you trim like a speed demon, you'll have hair clippings all over your counter.<br /><br />Aside from that, this is a great little trimmer. It's not that loud, the blades cut very well, the locking comb settings stay in place, and the charge lasts forever. I trimmed for 3 weeks on a single charge, and I trim about once every 3 days. It would have been nice if there was a carrying case included, but it's not a deal breaker.<br /><br />At Amazon's current price, this is a great deal for a good trimmer. Wonderful Product! If you have any type of facial hair, then this is the trimmer for you! A Great Product! I bought this as a present for my father, and he loves it.  It trims his beard and mustache beautifully. Great Shaver - Except End of Life I have used this shaver for over 5 years and the charges lasted for an extremely length of time until just this month.  Now the charge won't last through 2 shaves, before charging is required.  If I could use the shaver with the cord it would be a priceless shaver, but I don't suppose they would make a profit this way.  Overall it is a great little shaver. Not Bad but Beware I bought one of these to keep my hair trimmed to a buzz cut, thinking to eliminate those pesky trips to the barbershop.  It worked pretty good except when cutting your hair, rather than trimming a beard/moustache, you have alot more hair to vac.  And this trimmer actually handled that quite well the first couple of times, until I cleaned the unit and almost lost the little spring that allows the vac window to slide up and down for cleaning.  I did manage to bend the little spring which is very small and quite delicate and now the trimmer vac system works much less efficiently.  If you clean it, beware of the weeny spring.  Use tweezers when removing the spring and putting it back and too if you do take the spring out, place it someplace where it can't fall or get knocked off.  The other item that proved to be a challenge on this trimmer is the adjustable head lock.  While cutting my hair the last 2 times the lock slips from a higher setting down to a lower setting and in my case I had a much shorter buzz than I intended.  I'm keeping this one for my mustache, but intend to purchase something else for my buzz cuts.  So if like me, you're considering this trimmer for more than your beard/mustache, BEWARE. Even Brad Pitt uses one of these... ...doesn't he? (How else does he maintain such an even, three-day growth for months at a time?)<br /><br />I have the T770 model depicted above, so I've been a happy user for nearly two years. In his review, Reuben gives good tips on the use of this trimmer: take your time when you use it and clean it out after every use. The first results in even trimming; the second allows the vacuum to work best. Yes, a few hairs will show up in the sink, but with one swipe with a damp tissue they're gone. The adjustable comb trims beard, mustache, goatee, etc., to any length a user might want. In addition to the trimmer, the mustache and sideburn clipper gives a precise and neat edge; to use it, just remove the comb.<br /><br />Taking the T770 apart to clean the blades is easy; getting it back together properly requires careful assembly in good lighting and some patience. I wish Norelco would simplify the re-assembly mechanisms and process. But even that, since I have now mastered it, does not truly lessen my liking of this product. Nor does its charging time; the T770 holds its charge for around two months (and I use the trimmer 2-3 times a week).<br /><br />Should I drop and break this trimmer, as I did with a previously owned Remington, I will replace it with another Norelco. It's been great to have said good-bye to scissors. GARBAGE This is probably the worst product I ever bought in my life, and I am 67 years old.  The apparatus for changing the comb extension broke before I got to use the shaver.  Save your money, this is truly garbage. Good trimmer for your money I replace my old no frills Norelco with this new vacuum trimmer, and it works pretty much as advertised.  Some hair invariably misses the suction and lands in the sink, but no more hair all over the counter.  The guide works preety well, although you do have to go over your beard a number of times to get everything (it could do a little better job combing the hair up for cutting).  All in all a good buy. Surprise Surprisingly, this product is fairly good for the price!  I bought it strictly for trimming my neck, of course without the comb, and for that, its barely passable in getting all of the hair, but it pretty much vacuums all of what it does get.  For facial hair, I imagine it would work very well."
B0001HYKC6,"good enough i'm pretty happy with the product, i have a beard and i shave my head and it does the job well. and since the price was really low as well, i'd recommend it. It's a groomer, not a haircutter The item has the attachments to cut hair but it is not designed for full-on haircuts.  It's to keep you groomed between haircuts so you don't have to go as often, hence it being called a groomer. Also, if you're having trouble charging it, that's because you're not likely following what it says right in the instructions...it must be charged for a FULL 24 hours before the first use.  Do this, and it works fine. The neckline trimmer is a godsend.  My neck hair grows faster than that on my head so this does nicely for a neckshave when I don't really need a haircut yet.  Professional haircuts are getting too expensive everywhere to go in every 3-4 weeks when you don't need a full cut but do need a touch-up.  This does the trick in that respect.  The nose hair attachment works fine...again, the idea is not to get to the point where the hair is so long and thick that it doesn't work.  Groom it, keep up with it as it grows.  That's what this thing is for.  I have misplaced one of the attachments, unfortunately, so will be buying a new one but this does a a great job, better than the bigger, bulkier products out there. DO NOT BUY!  Will Not Hold a Charge The charge only lasts a few minutes.  Takes 24+ hours to recharge it.  When it is working, it works well and the attachments are good.  I would not recommend it to anyone! This is all you need Why expensive product?, like the title saids all purpose, It is great, cheap, and comes with amazing accesories. Great Value In terms of money for years of use, this trimmer is the best thing I have purchased in my lifetime.<br /><br />I bought it about 10 years ago, for $16 (on sale) at Walmart.<br /><br />For $16, I expected it to last for a year or two, but it has been going strong this entire time.<br /><br />It's been to France, Germany, the UK, 20+ US states and Canada in this time - and has never let me down.<br /><br />I would recommend this trimmer to anyone who is looking for a good trimmer/ groomer.<br /><br />Maybe I just got the golden version of this product - but it far surpassed my expectations - especially for $16.<br /><br />On top of all of this, I don't treat it particularly well - I just rinse it in water when I'm done with it, and put it back on the shelf.  I've never done any maintenance to it, and it continues to work perfectly. was worth every cent. great little trimmer i bought this trimmer in 2004. the battery is just now going bad. only lasts a short time with less power and<br />the attachment finally broke some teeth. for the price and lasting 10 years i think i got a steal.  i'm trying to find one comparable now. Great Trimmer-Great Buy I bought this as a gift for the holidays and my man loves it.  Easy to use amd the trim is great! Grab one if you still can. I've owned this same model (though may be different construction by now) for well over five years. It's turned out to be one of the best values I've ever encountered for men's shaving products. I don't remember what I paid at the time, but it was certainly cheap enough that I though, ""well, even if I get a year or so out of it..."".<br /><br />My primary usage has been to shorten beard, trim/line mustache area, sideburns, and the nose/ear attachment, at least twice a week. After all these years of use, the battery charge is still phenomenal, and the blades are sharp enough to do the job and not pull hair. As I was hunting for the charger this evening, the though occurred to me that this is only the second time I've pulled out the charger since moving to this place, which means I've only charged this shaver TWICE in a year. That alone makes this a great product. Cannot recommend this I owned a Wahl trimmer before and decided to try out the Norelco Trimmer coz of its price. I only use the trimmer occassionally. The trimmer is nice and light, and handles the job well. Even liked the nose trimmer attachment. The battery charger however, is a piece of junk. I had followed instructions and charged the unit for the first time as indicated in the manual. I used the trimmer a couple of times after that till the charge ran out. When I tried to recharge it, it just died out. No indicator light - nothing. It looks pretty, but is anything but sturdy. I switched back to my Wahl trimmer. Not for curly hair This would work on a back with thin straight hair.  On a man with curly, thick hair, it pulls and hurts.  It does have a suprising amount of juice despite running on only two AA batteries.  Blade is sharp and might work well for a woman who cannot reach down to shave her legs."
B0001HYLQG,"Better for people with sensitive skin. This is better for people with sensitive skin than the HQ171 extra fresh.  It feels smoother and doesn't make my razor drag or my face burn like the evil extra fresh lotion does.  The lotion packs last pretty long.<br /><br />For me it is cheaper to buy the lotion packs than buy new gillette mach 3 turbo blades.  (this would depend on how much lotion you use)  Although I don't get as close a shave I get way less irritation. WOW Fast Service! Half the price we had paid at Walmart who had stopped selling it! Have been finding everything we need and at great prices on Amazon.com Without Deliberation Always  a good product, have used this product for years without a problem.  I would recomend this withokut a problem. Excellent!! My husband has that particular Norelco razor.  It had become hard for him to find the replacement cartridges locally, so this works well for him.  I order them when he runs low.  He has to have them, or replace a good razor.  Thanks. Five Stars Nice price on hard to find item Works well this product works well for me. Too bad it didn't also come in a bottle like other pre shave lotions. I use it most of the time as I've been in a hurry at times and use my Norelco shaver dry, but I like it with the lotion better. Shower shaving is nice too. The steam in the shower helps set up my beard. All in all it's very convenient for travel too. I recomend it highly. Cool!  Very cool skin! I never thought the world would get here.  I am actually spending time to type up a review, online, for shaving lotion.<br /><br />Well, here you go:  for every man out there who is interested and who has ever used an electric shaver, if you haven't tried the Norelco Cool Skin electric shaver with this lotion, you have to.  Whoever has sensitive skin, you need to switch to this, because it does a great job.  That's all I have to say and I won't waste anymore time. Great lotion This stuff actually works. I use it with my 7735x and it feels really smooth. It also doesn't burn like the HQ171 does. The best shave I have had with an electric shaver! The Norelco rotary shaver that dispensed HQ170 as it shaved my face provided the smoothest electric shave that I have ever had. I have sensitive skin and found the lotion left my face feeling smooth and not raw as I had felt after using a Remington reciprocating cutter.<br /><br />I tried the HQ171 Gel but it was slightly irritant and did not smooth the shaver heads over the skin like the lotion did. Always use these Love these.  Always use them.  They really help the razor run smoothly over your face without irritation.  I really recommend."
B0001HYLQQ,"Five Stars thanks all great Excellent product I tried this product and then bought 3 packages more, because I felt it was an great product.<br /><br />I rate this as an excellent product. Not going to do that again. :(  I have sensitive skin.  This lotion has a irritating ""cold burning"" sensation.  Yay menthol.  I didn't get a close shave and i didn't want to shave with it because it felt like the razor was dragging across my irritated skin.<br /><br />I was going to return my shaver until I tried the HQ170.<br /><br />The HQ170 moisturizing shaving lotion is much more comfortable. Nice Action This product works great with my Philips Norelco 7810XL and helps to give a very smooth shave.  I would recomend this product to any users of the Norelco. Cool Skin This is the only shaver that I use, so the gel is a necessity.  Great for sensitive skin. Norelco Replacement Accessory It's nice to know that you can go on-line and order replacement accessories for older electric razor models! I still use this electric to this day, after 16 years. Not as good as the lotion The gel seems to go a lot faster than the lotion and does not lubricate the same. The gel is easily disolved in water and its effects are minimal. Shave Gel Products works fine and makes it much easier to shave on a hot day. Who needs shaving cream! Who needs shaving cream!  This gel glides over my face and prevents the razor burn. I didn't like it... ... and the alternative lotion (HQ170) is far more soothing on the skin providing an excellent shave with no facial discomfort.<br /><br />The Norelco shaver came with two samples of each cartridge and I only used one of the Gel cartridges... I really can't see a point in using it.<br /><br />I've ordered boxes of the lotion!"
B0001HYLR0,"A good shave, but the price isn't quite right. I have had a cool skin razor for several years and always liked it. I finally got around to replacing the heads, and the difference in shave quality was dramatic (my old blades were at least 5 years old).  However, I only give this product three stars because the blade kit is expensive to replace yearly as recommended and only includes new blades, not an entire new blade assembly. I didn't expect this, but for $30 it would have been nice, especially since, as other reviewers have pointed out, the blades and assembly have a tendency to accumulate residue, particularly if you don't use the special Nivea shave cartridges. (I want to be able to use a big cheap can of Barbasol dam***!) Manufacturers are entitled to charge what they wish for their products, but I don't have to like it. Great Product! Received item on time and in the condition as advertised. These Norelco Cool Skin Replacement heads made my Norelco electric shaver perform just as it did the day that I purchased it. Excellent value. I would definitely recommend this product to a friend. Best Money I Ever Spent ! I bought my 7700 series electric razor several years ago and don't use it every day but I was noticing the shave was getting less close. Instead of buying a new razor, hundreds of dollars, I bought these heads which were a snap to change out and I feel like I have a brand new razor, man what a difference and Amazon is just about the only place you can find them. Don't even look anywhere else, just order them here and by the end of the week you will feel like a new man or woman depending on what your shaving ! Like having a brand new razor... New blades for this razor and it's like having a brand new razor for 1/4 of the cost.  I had forgotten what a great shave this razor gave until I put these blades in... I won't be waiting so long to change them out again. Five Stars Great to have! I love it It makes my old shaver perfect.  I hate the new models of Norelco Shavers.  They lack the power of the older ones. Awesome My husband has had his electric razor for years and this is the first time we have needed to replace the heads. He loves them Meh This is my first electric razor.  I got it several years ago, and It's just kind of so-so.  The issue I have at this point is that it's becoming increasingly difficult to find parts for this thing.  Especially the shaving gel packets.<br /><br />I suppose that's more of an indictment of the razor itself, instead of the blade.  But anyway, the blade works.  I'm disappointed that it seems to be dropping out of the support sphere for Phillips Norelco.  A year from now, the machine will work fine, but I may not be able to get a blade for it. MyNorelco Exact replacement for my Norelco razor, but somehow I do not feel the same smoothness of my shave as the blades that came originally with the razor.<br />On a scale of 1-10 the replacement blades were 8 in comparison.<br /><br />Don't know if there is a manufacturing lot difference betweem OEM and replacement spares. Otherwise good value for money though I must say they are expensive, but this is how manufacturers make money.... make the product lower cost them make the money on the spares to keep it going. Five Stars Good deal vs new razor."
B0001HYMG0,"Item never shipped by seller and I was never refunded my money Contacted seller regarding refund and telling them that I hadn't received the item.  I also filed a claim when I didn't get a response from the seller.<br />I have yet to have this problem rectified. So glad to find these refills! I kept my Hummingbirds for several years, but never thought to find refills until now.  When I found them, I was very happy as I really like the Hummingbird.  So I am very glad that I hung onto the Hummingbirds now that I can use them again with these refills. These are really great would love the humming bird holder but can't find These are really great  would love the humming bird holder but can't find. Great product, seller quite good, too Price was right for a needful item for my Oral B Hummingbird flosser.  Best part, factually, was this seller.  The item arrived super-fast from Save Dollar Bills and they even sent along a complimentary tube of a very high quality lip balm that I use and love.  Nice! Dental product This product works well for its intended purpose,cleaning between the teeth.It is a dental hygeine product, what more is there to say ? Five Stars Exelent product The good and the bad The hummunigbird picks are excellent items for dental hygiene when used with the hummingbird vibrating holder.  Oral B has discontinued the product really like the hummingbird I started using the hummingbird ten years ago when I was in rehab. Someone bought it for me. Very handy and usful. Couldn't find it locally, but Amazon had it , I have learned to check with you first. Thank you Expensively Useless The Hummingbird product is, basically, a cell phone vibration mechanism with a plastic toothpick attached.  These replacement attachments do not hold any value for a person that has a serious investment in their teeth.  A regular toothpick provides more rigid action while being less cumbersome.<br /><br />I promise you that the free toothpicks at any place you eat will beat this gimmicky Hummingbird product, hands down."
B0001KOPYG,Five Stars My husband and I love this scent of body bar and would like to have availability to it again.
B0001LH704,"Best ever lipstick stay on potion ever!!! Love this stuff for my lipstick! I have been using this for years! Unfortunately can't buy it in the stores anymore so happy that Amazon sells it! On me lasts all day till I wash my make up off! Can eat and drknk with it! People always ask me &#34;how come your lipstick never comes when you eat or drink&#34; I tell them and of course they want to try it! Ummm Q-tip pls! Lol WHOLE LOT A SHAKING GOIN ON!! Had purchased this item when it was available in stores. Really liked it then, now I'm having a problem with the liquid  getting on the roller. The roller stays dry and takes a lot of shaking to work. Can't understand why that is!!"
B0001LQGEW,"Gillete Sensor 3 Better than the new five blade! I love it. But I'm afraid the are planning to discontinue it in order to push the newer models. I hope not anyway, since I just switched from sensor 2 after many years."
B0001LVME6,"LOVE this product! LOVE this product!  This is BY FAR the best shave cream I've found, and I've tried many!  My hair is dark and thick - thanks to my father - and I shave EVERYDAY!  This helps keep me smooth and I have little to no breakouts! its alright but i wouldn't recommend i was under the impression that this stuff was amazing but really its not like shaving cream at all. its like lotion. i just didn't love it and only used about a 5th of the bottle at most. Too thick, and the pump was bad The product was a bit thick for my razor, but it did smell very good. The pump didn't dispense well, either, which I think was because of the consistency of the lotion. Not wowed like the other reviewers, so I haven't really used it."
B0001M1IAI,"Five Stars Great price for daughters &#34;spa&#34; party ! Disposable flip-flops Product came quickly.  I needed some inexpensive, disposable flip-flops and these fit the bill well.  Colors are bright and attractive. Cute Used for my granddaughters pedicures. Five Stars Came quickly and great for my daughter's party! good deal good product cheaper then buy here local Five Stars Thank you, these serve the purpose! they loved them. Make sure if you order them that you are aware they are for big feet.  I got them for little girls.  You can cut them down some though.  It however prevented my carpets from most of the nail polish.  The girls are 4.  However, I did give some to my nephews because I had some left over; they loved them. Too flimsy: broke easily For some reason I thought somewhere on here had said they were child-sized.  I don't see it on here now, and they definitely aren't.  I ordered these for a 7-year old birthday party (17 girls). They got here very quickly. However, with as fast as they were breaking, I should have ordered 3 dozen instead of 2 dozen.  The girls were constantly asking for another one since they were breaking.  You get what you pay for in this case. thanks Very practical for the pedicure I will use in my spa and the material is good quality<br />thanks very much The colors were NOT like in the picture. If I would I've known the colors would be mixed with white I wouldn't have bought them.  I thought the slippers came in different SOLID colors like the picture shows.  Please update the product's picture for future customers."
B0001M3K4A,"Don't waste your money! I was excited when I found this item, thinking it would solve my salon visit problems as I cannot bend forward or backward. When it came and I opened it I was appalled. I've no idea how the product picture was taken! There is no way anyone could use this. First of all, it is NOT adjustable. One size fits all. Secondly, the plastic is so stiff and unbending that it's almost impossible to wrestle it into anything resembling the picture. Even if your head was big enough to fit in it, there is only a thin cloth strip sewn along the edge of the hard plastic to keep water from simply pouring all around you. If it were actually like the picture, it would be a great thing. How the other person who wrote a review got this to work on a child, I cannot imagine! A great sounding idea but not ready for consumers yet."
B0001M3V3U,Perfect soap The soap and the fragrance are long lasting. The fragrance is the perfectly balanced blend of patchouli and rose. I will purchase this product  again. Highly recommended.
B0001M7D7U,not a problem of the spray.  I needed a larger size unfortunately I didn't realize was 22 oz. was
B0001NXHBK,"Around the Neck Mirror I have had one of these mirrors for probably 40+ years.  I broke mine tonight when I just grabbed the mirror section and tilted it without unscrewing the screw first.  It just snapped off, and my fault.  I loved this mirror as I, too, cut my own hair, frost my hair and used this mirror to style my hair when I put it up. It worked great all these years.  I hope these plastic versions will be available on this site again and soon."
B0001TM8SC,"Five Stars Exactly what I needed. Good product Works well in mix for lubing bullets. Smells like gun oil. Not for body. If this really is lanoline it doesn't smell like it!  It smells like gun oil.  Not for using on your body! If you want a product you can wear get the NOW lanolin oil. Smells like gun oil. Not for body. If this really is lanoline it doesn't smell like it!  It smells like gun oil.  Not for using on your body! If you want a product you can wear get the NOW lanolin oil. It meets all my expectations! I needed something to put on my hands.  During the winter, they would get so dry that they would crack open and bleed.  Different hand lotions had no effect on them, no many how many times I put them on my hands.  I have been putting the lanolin on my hands before I go to bed and then putting socks on (so that the lanolin doesn't get all over the bedding).  When I get up in the morning, I notice a definite difference, and since I have started using this, I am not having as much or a problem. Five Stars Great thanks Great for case lube Great for using as case lube. Flows smoothly and mixes easily. Use in a 1 to twelve ratio mix for best results with 99% alcohol."
B0001TM9WC,"love it Excellent product ~ wonderful scent and cleans your hair and your scalp gently, leaving hair soft and shiny"
B0001UFEXW,didn't work I have a stroke and I Have ONE HAND. Though no way I can use. I I cannot use my right arm One Star This is the small unit pictured. Totally misleading and a rip off!
B0001WAMMS,"Spa Bath and Body Gift Set A birthday gift for my wife, this nicely arranged<br />basket containing bath care products was delivered<br />to our home only four days after the order was<br />placed at Amazon.com.  She's delighted with the<br />selection of items, thank you.<br /><br />Frederick S."
B0001WGFGU,Three Stars Its hard to know if it works I  applied 2 back to back but couldn't tell anything
B0001XLPBY,"The drying time was good but the hose is too short The drying time was good but the hose is too short.  If you try to put the base on a table the hood would not reach your head and the controls would not be within reach.  The base has to be held in your lap. The electric cord is also too short even though an extension cord could help with that.  The hood is very uncomfortable around the rim and need something like a scarf or other soft material to stuff around the edges. The Handle I have not been able to lift the handle, so not happy about that.  Connecting the hose to the bonnet can be a little tricky also.  Otherwise, the product works well."
B0001XQNPW,"Five Stars yes Five Stars Love it.... Five Stars Satisfied Very good product Have used for over twenty years and love the stuff, so many colors and it works, just look for the blue bottle you cannot go wrong! Five Stars Evidently it has been discontinued so I was happy to get it. Five Stars Evidently it has been discontinued so I was happy to get it."
B0001XU8KI,Skinceuticals is a great brand! This is a great product if you have normal skin - doesnt dry you out and wont overhydrate. I use morning and night and it lasts for months!
B0001Z5ZAY,Perfect Perfect color for my Asian skin tone.
B0001ZI0BU,"Yes, these really work...but keep a few things in mind After very minimal and barely noticeable success with whitening toothpastes and gels, I finally decided to give Crest Premium Whitestrips a try.  Previously, I had found the cost to be prohibitive, but the fact that $5 or $7 coupons are offered in our Sunday paper with some regularity made the price a bit easier to swallow.<br /><br />Just like the commercials say, I definitely did begin to see some improvement after about three days.  I would describe the effect as more of a lightening than a whitening per se:  the darker yellow spots on my teeth began to fade and to become less apparent.  Now, after using the product as prescribed for a week, the color of my teeth is clearly improved; I wouldn't say that my teeth are bright white, but they are definitely more of an ivory or a paler yellow color.  According to the package insert, you can immediately begin a second course of treatment for even better whitening effects, but I haven't yet decided if I want to lay out another $30 in order to do this.  Also, I should mention that the effect is not so dramatic thta anyone has noticed (UNLIKE in the commercials!).<br /><br />Now for the caveats.  First of all, I found these strips to be a bit difficult to use.  It can be hard to remove the strips from the protective backing without them becoming mangled, and it is very easy to get the gel on your fingertips (which causes a temporary whitening effect).  Also, the strips are not ideally shaped for your mouth, and I found that they covered my front eight teeth only.  Finally, while the top strip adhered fairly well, I found that the bottom strip was more tricky and tended to slide around, especially if I moved my mouth at all.  The only solution I found to this was to wear the strips while commuting to work, which luckily gave me a 30-minute period when I did not need to talk.  Otherwise, it can be difficult to find a good time to wear the strips, as the insert information advises against wearing them immediately after you brush your teeth, while sleeping, and while you are eating/drinking.<br /><br />Unlike other reviewers, I did not have a problem with the taste of the strips:  I could not detect anything while wearing them, and after taking them off, I thought that the gooey paste left behind was virtually tasteless.  I did experience some sensitivity in a lower tooth which I had capped over 20 years ago.  Although this sensation went away in time, it was uncomforable enough to make me cut the lower strip to fit around this particular tooth.<br /><br />In summary, I did see clear--although not miraculous--results from this product and I would be willing to try the strips again, especially if the price were to come down a bit.  Ultimately, I would rate Crest Whitestrips three and a half stars, as there is definitely room for improvement."
B0001ZWSUO,"Light cream, no breakouts, quick results I am 35 with olive skin.  I still get light acne and my skin does NOT like heavy creams as each attempt has been accompanied with breakouts.  I have used various fade-creams in the past, but found them to be too heavy for all over face use, yet at 35- I need all-over moisture!<br /><br />This cream is non-greasy and my skin looked significantly better after only two days of use- more even toned and bright, less dull and splotchy.  I have a patch of melasma on my upper lip (due to 15 years of being on the pill) and after a week I have noticed that it has markedly faded and my face seems much more elastic and vibrant.  I highly recommend it! Love It I love this product. I have not found any moisturizer that is as comfortable as this to wear. I have been using this product for several years in combination with other Avon Anew products. I am 45 years old and I get carded all the time. I have had problems with skin discoloration due to both hormones and acne from different times of my life and I have found that consistent use of this product does result in a more even skin tone. I hope they do not discontinue this. This is a light cream that does not cause my skin to break out."
B00020BKCK,"It was GREAT! But We have been using this model for years.  It was GREAT!  But, as time (LOL) has gone on, the newer models alarm beep got lower and lower.  The one we just ordered we are sending back because the volume is so low you can't hear it.  What a waste of money & time. Definitely didn't perform as expected! This watch did not work.  I followed the directions explicitly and set four alarms.  None of them went off. I returned the watch. Perfect for so many people, especially those with memory problems We have a relative with early Alzheimers, an elderly person. This watch allows him to have a bit more independence but serves as a reminder of medication and when it is time to take which meds. This holds reminders for up to 12 meds! It is a small price to pay for peace of mind.<br /><br />  Granted, it isn't the most stylish watch in the world but it does the job! Not worth the cost or time Very very difficult to program or setup. I only got 1 alarm to ring. I wanted to setup up 4 or 5 alarms.  (purely by accident) bit could not get it to display what that alarm was for, meds, etc...  never wore the watch at all and picked it up a few days later to try to continue with the setup and noticed the band on one side was already broken off. Definitely not worth the time or money I spent on it. Guess I will just use my phone for alarms and not a watch. Way Overpriced I bought this for my aging father who takes (too) many medications througout the day.  The first thing I noticed was that I paid $90 for a piece of plastic with a band.  That alone was reason enough to return it but as far as functionality, I am returning it because, for a senior citizen who has had a mild stroke, the alarms were too complicated to set, the alarm is too quiet and without a backlight, its difficult to read.<br /><br />I do like the ability to set a text reminder along with the time and record important health info.  I have been searching hi and lo for an easy to use, multi-alarm watch that caters to senior citizen's needs but I dont believe one exists. Great Reminder Watch I bought this watch for my 70 year old mother, I guess by that age, taking so many pills each day is normal! Her problem was that she had to take a special pill once a week but kept forgetting, this watch doesn't program each day, but at least I could put an alarm on it for each day reminding her that if it is Tuesday to take her pill....Seems the long way around but it worked for her, she loves it. It has a great feature that if you are busy when the alarm goes off...ie...on the phone etc, you can press a button and it will keep reminding you like every 3 mins or so with a reminder beep until you tell it to stop. Very easy to set up and change if you need to. My only negative would be Amazon's supplier of this watch 'epills', they sent a beeper to me first, I had to send it back and pay postage to send it back, but they never apologized or refunded my postage money to send back their mistake, even after a call and email. This is my second Cadex alarm watch The band on the watch is very ugly and it is a mans watch. They do not make a women's watch. I did replace the band but I had to use mans band and I do not like it. The alarms have always worked well until the last several years as I lost some hearing. The alarm was always low but now I can hardly hear it. The watch does keep the medical info in it but they need a women's version to keep me as a customer and they need  adjustable sound on the alarms."
B00020UL2A,"Priceless Well built item, Made In the USA. No problems with our units. We have three of them in our house. Why use dry paper to clean the dirtiest part of your body? Good investment, easy to install, live cleaner and more comfortably with these biffys."
B00020UQT8,"Top notch and great but not too heavy scent Top notch and great but not too heavy scent! I purchased this AND the Taylor of Old Bond Street brand Rose scents and they are practically identical in quality of lather, scent and skin comfort. The T&H may be slightly nicer in scent, but I think that is my wallet trying to convince my brain. For the price I want to convince myself this was worth the extra cost, I just can't. A good shaving cream A good shaving cream, whips to a decent lather. The scent could be a bit stronger for my taste. I have been a  double edge and straight edge shaver for several years. Nothing comes close to The New York Shaving Company's product line, I buy this when I'm to lazy to take the subway."
B00020UR4C,"Five Stars Great service and a really good product Great stuff! My girlfriend loves this - she doesn't want me wearing anything else. So, being a team player - it's all I wear."
B00020UR4W,"GIFT FOR MY HUSBAND This was a gift for my husband. He uses this entire Truefitt and Hill Grafton shaving line, and loves it.  He had mentioned that he wanted the aftershave for his birthday, so I was thrilled that I found it on Amazon, because we live in a small town and wasn't going to be able to drive to the city to pick this up.  My husband loves this scent... it is a very old school - barber shop fragrance.  Very clean & fresh.  Love it!"
B00020YY1Y,"Can't use Not a gluten free product Spay defective Love this product but can't use it because won't spray..not happy My New Favorite Suntan Oil This doesn't dry out my skin and gives me a great color! My new favorite brand! Love this! One of the best tanning oils out there!! I received so many compliments on my tan during the summer. Fabulous tanning oil without bronzer orange! Great smell & not sticky! Five Stars best tanning oil out there. Absolutely love it. Not to thick Only tanning oil I use, not thick smells great Feels nice Love love this oil however not recommended for a swimming pool. Awesomeness Love this stuff. Gives a fantastic tan LOVE this stuff! NO SUNSCREEN...As long as you have a base this will work great and gives you beautiful color!"
B000217KFK,"The old packaging This has always been my favorite scent. This packaging is what I recognized from years ago. They have apparently brought it back in new packaging, but this is what I remember. not as advertised the bottle used for the sale was the original.  i thought i was purchaing the bottle as shown.  nope, it was the new bottle.  clean up your sales pitch. Havana cologne This item is very difficult to find and I thought it was discontinued. The best scent ever. Lasts a long time and is fresh smelling."
B00021B4I4,"Best Soap I've Found -<br />I first came across this product in a Four Seasons hotel. It was so good that I brought several home.<br /><br />This is a hard-milled verbena (lemon scent) soap that rinses away cleanly and does not soften in the soap dish. As a result, a bar of it lasts longer than other soaps. And you come away feeling (and smelling) clean.<br /><br />Use it once and you're hooked.<br /><br />From the Label:<br />""Pure vegetable soap: inspired by the original recipe from the master soap maker, L'Occitane has formulated this soap with an extra-gentle and vegetable base. Rich in softening and protective Shea Butter, this soap's foamy lather gently cleanses the skin, helping to preserve its natural moisture balance."" Great Wonderful in shower and as hand soap.<br />Worth every cent.<br />Love it as does my wife.<br />Will use it in future as well as now."
B00021C22G,Great Product! My sister loves this product so much she has asked for a replacement so i sent her one for her birthday as a surprise and she is forever beholden to me now! I just wished it was a bit easier to order directly via Sephora instead of through Amazon but delivery was prompt enough in time for her birthday. Also it would be nice if this could be gift wrapped. luckily i had someone intercept it for me and hide it. but it would be great if gift wrap was available
B00021CQTA,"smells yummy and not sticky i hate hate hate sticky lipglosses...so i was totally afraid to try this as i've never tried it before.  i've gotta say though...for a lipgloss that looks to be sticky .. its actually not.  goes on very smoothly and very glossy without that stickyness.  love this and the ""think pink"" one is my favorite."
B00021CWYO,Outstanding Lives up to the advertising.  Very nice fragrance at a very reasonable price. The cologne is not overpowering and the scent lasts a full business day.
B00021E2DI,"Five Stars good:) you are worth a little luxury sometimes I've used these Fresh cubes in several flavors for years. I love them. I have a huge tub, but only need 2. They smell great, make the water feel good and are wonderful. No ring either. Too expensive for every night, but, oh what a treat. Five Stars Love taking a bath with this. The aroma  manificient Five Stars great!"
B00021E5PS,"Yuck I've never used this brand before and I never will again. Perhaps I got a bad unit, I'll never know but I could never wear this on my face! I found it to be a &#34;dry&#34; lotion and a drying feeling on my facial skin. I was bewildered in the first 3 seconds! I can't imagine who could use this. I love everything French..... But not this. I threw it out."
B00021PCS2,"Good old Red is back. I remember first time i bought this, it was 1990-91 in broadway dept. store. I loved the smell from the beginning. Now after 20 years, it's good to have the RED back. Smell very good. Not too fruity and not too spicy. and the price, well i use to pay $55.00 and now is a bargain. I'm going to buy more just in case it disappear again."
B00021VJR0,Five Stars PERFECT
B00021VOKW,"The most perfect lipstick ever. What is so amazing about ""Sweetness"" lipstick by Clinique is that it goes perfect with red thing you are wearing or pink/purple clothes that you are wearing. I wish they hadn't stopped this great lip color. It's the best."
